Trial,Session,False trials,Performance
Baseline,1,3,93
Baseline,1,2,95
Baseline,1,5,88
Baseline,1,11,73
Baseline,1,11,73
Baseline,1,20,50
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Baseline,1,0,100
Listen,1,8,87
Listen,1,13,78
Listen,1,26,57
Listen,1,21,65
Listen,1,7,88
Listen,1,31,48
Listen,1,36,40
Listen,1,36,40
Listen,1,11,82
Listen,1,56,7
Listen,1,21,65
Listen,1,3,95
Listen,1,12,80
Listen,1,30,50
Listen,1,0,100
Listen,1,0,100
Listen,1,0,100
Listen,1,0,100
Listen,1,0,100
Sing along,1,18,70
Sing along,1,17,72
Sing along,1,27,55
Sing along,1,21,65
Sing along,1,22,63
Sing along,1,3,95
Sing along,1,9,85
Sing along,1,1,98
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing along,1,0,100
Sing from memory ,1,8,87
Sing from memory ,1,3,95
Sing from memory ,1,20,67
Sing from memory ,1,32,47
Sing from memory ,1,15,75
Sing from memory ,1,37,38
Sing from memory ,1,5,92
Sing from memory ,1,59,2
Sing from memory ,1,1,98
Sing from memory ,1,30,50
Sing from memory ,1,0,100
Sing from memory ,1,0,100
Sing from memory ,1,0,100
Sing from memory ,1,0,100
Sing from memory ,1,0,100
Sing from memory ,1,0,100
Sing from memory ,1,0,100
Sing from memory ,1,0,100
Sing from memory ,1,0,100
Baseline,2,21,95
Baseline,2,1,98
Baseline,2,1,100
Baseline,2,1,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Baseline,2,0,100
Listen,2,31,95
Listen,2,21,60
Listen,2,10,95
Listen,2,8,88
Listen,2,7,50
Listen,2,30,53
Listen,2,9,90
Listen,2,60,40
Listen,2,12,98
Listen,2,30,50
Listen,2,0,100
Listen,2,0,100
Listen,2,0,100
Listen,2,0,100
Listen,2,0,100
Listen,2,0,100
Listen,2,0,100
Listen,2,0,100
Listen,2,0,100
Sing along,2,5,97
Sing along,2,12,73
Sing along,2,31,50
Sing along,2,24,67
Sing along,2,8,85
Sing along,2,3,73
Sing along,2,1,98
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing along,2,0,100
Sing from memory ,2,2,93
Sing from memory ,2,4,62
Sing from memory ,2,9,87
Sing from memory ,2,11,95
Sing from memory ,2,10,90
Sing from memory ,2,32,92
Sing from memory ,2,56,50
Sing from memory ,2,27,55
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100
Sing from memory ,2,0,100