Trial,Song,False trials,Performance
Baseline,Tydyy,1,95
Baseline,Tydyy,1,95
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Baseline,Tydyy,0,100
Listen,Tydyy,2,93
Listen,Tydyy,5,83
Listen,Tydyy,1,97
Listen,Tydyy,6,80
Listen,Tydyy,25,17
Listen,Tydyy,1,97
Listen,Tydyy,1,97
Listen,Tydyy,6,80
Listen,Tydyy,1,97
Listen,Tydyy,30,0
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Listen,Tydyy,0,100
Sing along,Tydyy,1,97
Sing along,Tydyy,7,77
Sing along,Tydyy,7,77
Sing along,Tydyy,18,40
Sing along,Tydyy,2,93
Sing along,Tydyy,13,57
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing along,Tydyy,0,100
Sing from memory ,Tydyy,3,90
Sing from memory ,Tydyy,22,27
Sing from memory ,Tydyy,3,90
Sing from memory ,Tydyy,1,97
Sing from memory ,Tydyy,1,97
Sing from memory ,Tydyy,2,93
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Sing from memory ,Tydyy,0,100
Baseline,Uulaa,2,90
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Baseline,Uulaa,0,100
Listen,Uulaa,3,90
Listen,Uulaa,20,33
Listen,Uulaa,1,97
Listen,Uulaa,2,93
Listen,Uulaa,1,97
Listen,Uulaa,30,0
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Listen,Uulaa,0,100
Sing along,Uulaa,1,97
Sing along,Uulaa,2,93
Sing along,Uulaa,1,97
Sing along,Uulaa,1,97
Sing along,Uulaa,1,97
Sing along,Uulaa,6,80
Sing along,Uulaa,20,33
Sing along,Uulaa,1,97
Sing along,Uulaa,1,97
Sing along,Uulaa,1,97
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing along,Uulaa,0,100
Sing from memory ,Uulaa,2,93
Sing from memory ,Uulaa,2,93
Sing from memory ,Uulaa,1,97
Sing from memory ,Uulaa,4,87
Sing from memory ,Uulaa,1,97
Sing from memory ,Uulaa,1,97
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100
Sing from memory ,Uulaa,0,100